,0
0,4.9514000000000005
1,5.0558
2,5.2258
3,5.3908
4,3.2434
5,4.634
6,5.1426
7,3.941
8,1.4866000000000001
9,1.7482000000000002
10,4.328
11,3.1866
12,2.7338
13,0.781
14,1.4914
15,2.5814
16,3.1918
17,3.6742
18,3.1408
19,4.4488
20,5.3608
21,4.6297999999999995
22,3.9732000000000003
23,3.0578000000000003
24,4.4496
25,2.8407999999999998
26,3.8742
27,4.9662
28,5.1136
29,4.3322
30,4.2472
31,4.7208
32,5.247
33,4.5920000000000005
34,4.7498
35,5.202
36,4.0636
37,5.0412
38,3.2812
39,2.8512
40,4.0126
41,4.082199999999999
42,2.0044
43,3.2738000000000005
44,4.8202
45,3.3216
46,1.7611999999999999
47,1.7702
48,3.8726
49,2.6506
